nest_ID,male_id,male_age,female_id,female_age,Site,NGR,Ref,find.date,fledge.date,year,obs.period,expo,outcome,outcome.1,clutch,chicks,fledged,brood,comments,Nest.found,x,y,altitude,Notes,Predated,distance_to_nearest_track,track50,track100,track150,track200,density_of_tracks,Ycons,tandc,exp,nest_age_atLoc,julian.day.find,julian.day.nest.initiation,julian.day.1,age.day.1,jdayinit,month,week
98,,,,,Clocaenog,SJ0226054180,Nest 5 Llyfarddu  (2nd brood) ,23/07/2017,,2017,,17,f,0,1,0,0,NA,,yes,302260,354180,409.6,Nest 5 Llyfarddu  (2nd brood) ,0,35,1,1,1,1,,0,0,17,16,204,188,151,-37,188,7,27
99,,,,,Clocaenog, SJ0163054480,Nest 6  Foel Frech ,23/07/2017,,2017,,12,s,1,2,2,2,NA,,yes,301630,354480,419.5,Nest 6  Foel Frech ,0,104,0,0,1,1,,0,0,12,36,204,168,151,-17,168,6,24
100,LH76561,,LH76550 ,,Clocaenog,SJ0502251968,Nest 7  Boncyn Foel Bach (1st brood) ,23/06/2017,,2017,,41,s,1,2,2,2,NA,,yes,305022,351968,363.3,Nest 7  Boncyn Foel Bach (1st brood) ,0,15,1,1,1,1,,0,0,41,10,174,164,151,-13,164,6,23
101,,,LH76550,,Clocaenog,SJ0449751786,Nest 8  Boncyn Foel Bach (2nd brood) ,14/07/2017,,2017,,20,f,0,2,0,0,NA,,yes,304497,351786,335,Nest 8  Boncyn Foel Bach (2nd brood) ,0,54,0,1,1,1,,0,0,20,2,195,193,151,-42,193,7,28
102,,,,,Clocaenog,SJ0045452113,Nest 9  Below Craig Bronbanog Quarry ,16/07/2017,,2017,,1,s,1,2,2,2,NA,,yes,300454,352113,414.4,Nest 9  Below Craig Bronbanog Quarry ,0,195,0,0,0,1,,0,0,1,36,197,161,151,-10,161,6,23
103,,,,,Clocaenog,SH9870655353,Nest 10  Cefn Hafod Lom North ,25/07/2017,,2017,,1,s,1,2,2,2,NA,,yes,298706,355353,427,Nest 10  Cefn Hafod Lom North ,0,259,0,0,0,0,,0,0,1,36,206,170,151,-19,170,6,24
104,LH76534,,LH76962,,Clocaenog,SJ 01096 52173,Nest1/ 3a,29/06/2014,,2014,,0,s,1,2,2,2,1,,yes,301096,352173,440,nest 1,0,65,0,1,1,1,,0,0,NA,23,180,157,151,-6,157,6,22
105,,,LH76962,,Clocaenog,SJ 01073 52452,nest2/ 3b,07/07/2014,,2014,,0,s,1,2,2,2,2,,yes,301073,352452,430,nest2,0,98,0,1,1,1,,0,0,NA,3,188,185,151,-34,185,7,26
106,,,,,Clocaenog,SJ 04770 52269,nest3/ 6a,23/07/2014,,2014,,0,s,1,2,2,2,NA,,yes,304770,352269,359,nest3,0,28,1,1,1,1,,0,0,NA,26,204,178,151,-27,178,6,25
107,,,LH76625,,Clocaenog,SH 98512 55631,nest4/11a,15/08/2014,,2014,,0,s,1,2,2,2,NA,,yes,298512,355631,403,nest4,0,94,0,1,1,1,,0,0,NA,30,227,197,151,-46,197,7,28
108,,,,,Brechfa,SN4885334324,T23,26/06/2018,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,Brechfa,?,T14,18/06/2018,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,LH77816,6,LH77808,6,PyC,SN9405100815,T81,26/07/2018,,2018,15,36,s,1,2,2,2,2,"trail cam.2nd brood, female radio tracked to nest. Camera trap placed on nest",yes,294051,200815,,,,,,,,,,,,,,,,,,,,
111,,,LB09390,6,PyC,SS8359797633,T1 ,03/07/2018,,2018,23,24,f,0,2,2,0,2,"2nd brood, female radio tracked to nest. ",yes,283597,197633,,,,,,,,,,,,,,,,,,,,
112,LH77800,6,LB09390,6,PyC,SS8353997401,T1,03/06/2018,06/07/2018,2018,23,36,s,1,2,2,2,1,1st brood female radio tracked to nest,yes,283539,197401,,,,,,,,,,,,,,,,,,,,
113,,,,,Bryn,SS8143691337,Quarry nest,03/07/2018,,2018,10,36,s,1,2,2,2,1,1st brood located through cold searching,yes,281436,191337,,,,,,,,,,,,,,,,,,,,
114,,,LB09377,,Bryn,SS8233790150,Southern slope brood 1,01/07/2018,11/07/2018,2018,10,36,s,1,2,2,2,1,1st brood located through cold searching,yes,282337,190150,,,,,,,,,,,,,,,,,,,,
115,,,LB09377,,Bryn,SS82449009,Southern slope brood 2,12/07/2018,,2018,25,25,f,0,2,2,0,2,2nd brood located through radio tracking female,yes,282440,190090,,,,,,,,,,,,,,,,,,,,
116,,,LH77804,6,Bryn,SS79738942,Western slope,25/07/2018,,2018,34,36,s,1,2,1,1,,unknown brood. Located through radio tracking female.,yes,279730,189420,,,,,,,,,,,,,,,,,,,,
